#,VIB ID,Equipment ID,Date,Axial (mm/s),Gear (mm/s),Horizontal (mm/s),Vertical (mm/s)
5874,Vb-441.FN310-MNDE-RMS,441.FN310,2026-04-27,0.99,,0.73,2.07
5875,Vb-441.FN315-FDE-RMS,441.FN315,2026-04-29,0.81,,1.02,1.04
5876,Vb-441.FN315-FNDE-RMS,441.FN315,2026-04-29,0.67,,0.97,0.84
5877,Vb-441.FN315-MDE-RMS,441.FN315,2026-04-29,1.66,,2.09,1.78
5878,Vb-441.FN315-MNDE-RMS,441.FN315,2026-04-29,0.44,,0.77,0.98
5879,Vb-441.FN325-FDE-RMS,441.FN325,2026-04-06,0.88,,0.94,0.87
5880,Vb-441.FN325-FNDE-RMS,441.FN325,2026-04-06,0.93,,1.49,1.89
5881,Vb-441.FN325-MDE-RMS,441.FN325,2026-04-06,1.59,,1.94,1.6
5882,Vb-441.FN325-MNDE-RMS,441.FN325,2026-04-06,0.59,,0.73,1.27
5883,Vb-441.FN335-FDE-RMS,441.FN335,2026-04-06,0.47,,0.75,0.75
5884,Vb-441.FN335-FNDE-RMS,441.FN335,2026-04-06,1.48,,1.45,0.9
5885,Vb-441.FN335-MDE-RMS,441.FN335,2026-04-06,0.54,,0.74,0.78
5886,Vb-441.FN335-MNDE-RMS,441.FN335,2026-04-06,0.44,,0.51,0.63
5887,Vb-441.FN340-FDE-RMS,441.FN340,2026-04-07,0.51,,0.34,0.35
5888,Vb-441.FN340-FNDE-RMS,441.FN340,2026-04-07,0.45,,0.39,0.39
5889,Vb-441.FN340-MDE-RMS,441.FN340,2026-04-07,0.36,,0.62,0.61
5890,Vb-441.FN340-MNDE-RMS,441.FN340,2026-04-07,0.21,,0.28,0.46
5891,Vb-441.FN345-FDE-RMS,441.FN345,2026-04-29,0.52,,1.69,1.18
5892,Vb-441.FN345-FNDE-RMS,441.FN345,2026-04-29,0.61,,1.45,1.39
5893,Vb-441.FN345-MDE-RMS,441.FN345,2026-04-29,1.28,,1.56,1.86
5894,Vb-441.FN345-MNDE-RMS,441.FN345,2026-04-29,0.51,,0.52,1.02
5895,Vb-441.FN350-FDE-RMS,441.FN350,2026-04-29,0.22,,0.39,0.36
5896,Vb-441.FN350-FNDE-RMS,441.FN350,2026-04-29,0.43,,0.66,0.53
5897,Vb-441.FN350-MDE-RMS,441.FN350,2026-04-29,1.02,,0.59,0.82
5898,Vb-441.FN350-MNDE-RMS,441.FN350,2026-04-29,0.38,,0.26,0.56
5899,Vb-741.CP110-CDE-RMS,741.CP110,2026-04-26,2.58,,6.21,3.52
5900,Vb-741.CP110-CNDE-RMS,741.CP110,2026-04-26,4.1,,3.92,3.59
